# offset: read sequence offset, taking strand into account
# total: number of reads with length at least (offset + 1)
# mismatches: number of mismatches at the offset
# deletions: number of deletions ending right before the offset
# insertions: number of insertions starting at the offset
offset	total	mismatches	deletions	insertions
0	6649455	23083	0	88
1	6649455	8869	0	140
2	6649455	5268	1787	1600
3	6649455	3730	4350	2977
4	6649455	3093	3030	3757
5	6649455	2720	2099	4363
6	6649455	2663	2367	5147
7	6642723	2520	2952	5907
8	6636087	2466	3635	6168
9	6629650	2438	3445	6048
10	6623491	2347	3188	5881
11	6618163	2331	3283	5847
12	6613514	2356	3091	5469
13	6609125	2330	3152	5352
14	6604825	2358	3315	5251
15	6600759	2342	3138	5187
16	6596646	2367	3137	4956
17	6592574	2319	3243	4826
18	6588519	2501	3318	4749
19	6584517	2429	3223	4618
20	6580685	2332	3318	4528
21	6576323	2252	3370	4460
22	6572303	2404	3466	4481
23	6568195	2379	3544	4418
24	6564160	2320	3563	4290
25	6560173	2202	3570	4233
26	6556290	2237	3506	4291
27	6552426	2217	3704	4178
28	6548614	2244	3792	4095
29	6544832	2244	3769	4245
30	6541053	2243	3791	4126
31	6537110	2317	3800	4192
32	6533295	2288	3926	4080
33	6529647	2380	3991	4128
34	6525890	2454	3997	4292
35	6522291	2432	4108	4311
36	6518749	2357	4179	4131
37	6515185	2406	4015	4300
38	6511746	2480	4207	4339
39	6508056	2475	4243	4348
40	6504464	2491	4402	4348
41	6500943	2473	4372	4349
42	6497466	2403	4381	4433
43	6494006	2428	4517	4198
44	6490448	2415	4711	4242
45	6486915	2461	4639	4211
46	6483369	2497	4850	4152
47	6479726	2517	4893	4139
48	6475994	2547	4827	4131
49	6472264	2539	4924	4034
50	6468419	2493	4909	4052
51	6464540	2648	5155	4030
52	6460764	2551	5109	4027
53	6456745	2469	5300	4068
54	6452949	2562	5303	4045
55	6449015	2516	5345	4086
56	6444937	2554	5380	4100
57	6440841	2479	5436	4056
58	6436745	2589	5497	4220
59	6432661	2580	5585	4110
60	6428598	2553	5625	4143
61	6424407	2588	5730	4273
62	6420262	2571	5778	4324
63	6416089	2593	5755	4408
64	6412002	2623	5846	4459
65	6407548	2514	5912	4563
66	6403227	2473	5797	4588
67	6398811	2540	5848	4721
68	6394423	2545	6104	4806
69	6390004	2558	6077	4738
70	6385480	2505	6066	4801
71	6381044	2488	6001	4826
72	6376624	2636	6190	4859
73	6372144	2566	6237	4984
74	6367682	2616	6124	4827
75	6363183	2560	6332	5020
76	6358571	2493	6235	5201
77	6353948	2580	6205	5249
78	6349384	2570	6103	5132
79	6344768	2581	6260	5115
80	6340406	2588	6411	5301
81	6335849	2548	6319	5349
82	6331195	2522	6269	5366
83	6326599	2526	6302	5379
84	6321916	2557	6501	5390
85	6317195	2520	6577	5394
86	6312666	2563	6664	5577
87	6308083	2511	6597	5719
88	6303561	2510	6712	5655
89	6298986	2466	6610	5746
90	6294402	2480	6840	5635
91	6289809	2473	6867	5937
92	6285211	2505	7001	5808
93	6280475	2532	7015	5793
94	6275893	2530	7186	5922
95	6271172	2513	7187	5953
96	6266582	2524	7126	6035
97	6262074	2413	7377	6083
98	6257431	2442	7462	5991
99	6252773	2431	7473	6107
100	6248123	2448	7544	6043
101	6243409	2459	7652	6054
102	6238711	2405	7901	6144
103	6233996	2406	7685	6243
104	6229279	2486	7836	6201
105	6224458	2476	7826	6286
106	6219713	2416	7890	6327
107	6214975	2404	8097	6216
108	6210200	2342	8207	6427
109	6205432	2377	8155	6315
110	6200489	2263	8351	6320
111	6195410	2303	8242	6492
112	6190306	2230	8426	6355
113	6185221	2293	8490	6562
114	6180052	2275	8607	6653
115	6174895	2232	8428	6543
116	6169674	2359	8591	6557
117	6164455	2228	8605	6677
118	6159042	2243	8876	6698
119	6153718	2098	8728	6874
120	6148286	2154	8884	6919
121	6142782	2205	8820	7012
122	6137329	2196	9065	6965
123	6131744	2244	8970	7070
124	6126046	2260	9159	7153
125	6120348	2315	9122	7250
126	6114725	2328	9178	7208
127	6109004	2258	9146	7202
128	6103225	2342	9348	7595
129	6097492	2329	9221	7410
130	6091565	2335	9384	7444
131	6085679	2247	9470	7387
132	6079714	2272	9437	7681
133	6073746	2378	9507	7740
134	6067682	2362	9451	7570
135	6061577	2301	9661	7690
136	6055398	2300	9670	7797
137	6049272	2304	9949	7878
138	6043223	2299	9955	8055
139	6037004	2501	9946	8153
140	6030742	2394	10088	8002
141	6024536	2375	10074	7996
142	6018366	2392	10240	8180
143	6011944	2344	10242	8161
144	6005626	2373	10439	8171
145	5999468	2430	10609	8095
146	5993018	2443	10527	8060
147	5986423	2398	10690	8122
148	5980152	2514	10560	8162
149	5973792	2535	10524	8454
150	5967361	2508	10760	8408
151	5960829	2548	10869	8329
152	5954365	2417	10983	8548
153	5947731	2533	10962	8646
154	5941232	2537	11118	8704
155	5934613	2555	11229	8791
156	5927995	2401	11262	8985
157	5921191	2531	11413	8899
158	5914548	2568	11239	8793
159	5907697	2534	11391	9117
160	5900817	2538	11415	9017
161	5894130	2561	11566	9072
162	5887203	2567	11719	9027
163	5880407	2683	11576	9141
164	5873417	2637	11658	9340
165	5866378	2685	11663	9272
166	5859366	2726	11875	9543
167	5852287	2792	11774	9446
168	5845128	2671	11664	9545
169	5837925	2737	11969	9729
170	5830738	2715	11935	9587
171	5823302	2776	11978	9672
172	5815946	2794	12140	9837
173	5808481	2709	12365	9805
174	5801050	2788	12322	9886
175	5793671	2891	12379	9908
176	5785968	2823	12544	10063
177	5778274	2830	12628	10095
178	5770390	2900	12667	10196
179	5762434	2863	12721	10127
180	5754650	2954	12788	9988
181	5746666	2917	12797	10253
182	5738737	2988	12814	10480
183	5730624	2960	12941	10502
184	5722523	2996	13109	10807
185	5714350	2990	13217	10549
186	5706186	3038	13210	10698
187	5697849	2971	13414	10867
188	5689522	2908	13525	10967
189	5680836	3012	13505	11016
190	5672209	3030	13533	10950
191	5663592	3075	13687	11086
192	5654982	2967	13537	11222
193	5646287	3070	13782	11229
194	5637446	3063	13900	11345
195	5628672	3091	13624	11473
196	5619967	3126	13853	11201
197	5611132	3165	14102	11482
198	5602011	3164	14259	11388
199	5593006	3146	14217	11391
200	5584032	3283	14251	11635
201	5574834	3254	14257	11841
202	5565586	3376	14371	11809
203	5556480	3365	14566	11826
204	5547245	3258	14448	11736
205	5537732	3299	14527	11945
206	5528288	3328	14758	12155
207	5518726	3415	14898	12181
208	5509147	3261	14892	12050
209	5499498	3425	14747	12275
210	5490073	3397	14897	12390
211	5480494	3296	14868	12647
212	5470640	3462	15243	12738
213	5460829	3421	15286	12621
214	5450982	3512	15136	12869
215	5441028	3570	15214	12812
216	5431137	3494	15374	12949
217	5420994	3388	15195	12906
218	5410728	3591	15252	12923
219	5400451	3583	15640	13120
220	5390128	3549	15589	13165
221	5379614	3643	15533	13451
222	5369196	3630	15695	13305
223	5358645	3666	15613	13329
224	5348114	3657	15731	13303
225	5337481	3755	15805	13588
226	5326589	3757	15785	13546
227	5315935	3707	16188	13865
228	5304969	3661	16051	13839
229	5293885	3660	16142	13672
230	5282716	3755	16335	13949
231	5271418	3724	16548	13920
232	5260046	3695	16455	14060
233	5248805	3812	16658	13923
234	5237506	3918	16637	14023
235	5225884	3933	16795	14105
236	5214360	3937	16889	14257
237	5202849	3939	17217	14211
238	5191111	3943	16941	14097
239	5179471	3983	17079	14336
240	5167685	3770	17175	14425
241	5155894	4021	17072	14630
242	5143949	3942	17639	14402
243	5131715	4072	17643	14298
244	5119736	4108	17647	14677
245	5107457	4084	17475	14642
246	5095209	4070	17753	14545
247	5082813	4044	17792	14947
248	5070282	4075	17946	14599
249	5057436	4193	17718	14865
250	5044739	4174	17819	14796
251	5031913	4189	18134	15058
252	5019169	4177	18125	15207
253	5006336	4269	17957	15186
254	4993495	4241	18116	15312
255	4980516	4316	18272	15336
256	4967194	4279	18240	15394
257	4953807	4295	18217	15716
258	4940676	4289	18293	15661
259	4927283	4413	18390	15891
260	4913867	4414	18549	16044
261	4900329	4425	18245	15995
262	4886592	4424	18480	16249
263	4873054	4426	18414	15893
264	4859120	4451	18374	16204
265	4845348	4440	18442	16508
266	4831363	4518	18641	16393
267	4817275	4549	18793	16722
268	4803263	4469	18755	16580
269	4789240	4459	18519	16795
270	4775005	4497	18357	16863
271	4760783	4616	18458	16864
272	4746480	4719	18851	16945
273	4732037	4611	19053	17264
274	4717980	4545	18487	17104
275	4703690	4656	18670	17206
276	4689172	4730	18947	17432
277	4674549	4660	19021	17465
278	4659922	4808	18966	17425
279	4645026	4671	18878	17562
280	4630168	4761	18893	17352
281	4615081	4708	18852	17530
282	4599791	4660	19126	17824
283	4584496	4886	19016	17530
284	4569184	4767	19049	17910
285	4553877	4842	19075	17789
286	4538324	4873	19339	17975
287	4522803	4755	19192	18016
288	4507261	4799	19071	18128
289	4491621	4878	19152	18174
290	4475971	4859	19073	18282
291	4460302	4942	19002	18152
292	4444560	5053	19039	18269
293	4428765	5022	19197	18466
294	4412631	5115	19255	18093
295	4396569	5114	19360	18280
296	4380505	5089	19131	18755
297	4364066	5111	19038	18535
298	4347811	5074	19371	18601
299	4331547	5141	19085	18745
300	4315146	5118	19122	18769
301	4298567	5114	18920	18821
302	4282104	5055	19061	18556
303	4265465	5107	19168	18709
304	4248551	5086	19198	18906
305	4231734	5100	19331	19078
306	4214922	5159	19213	18826
307	4198055	5055	19267	19032
308	4181045	5138	19098	19311
309	4163730	5279	19065	19290
310	4146415	5234	18979	19402
311	4129044	5271	19114	19136
312	4111565	5280	19197	19225
313	4094224	5269	19269	19536
314	4076832	5283	19153	19173
315	4059142	5325	19145	19375
316	4041731	5315	19088	19493
317	4024269	5382	19018	19651
318	4006699	5338	19323	19573
319	3989101	5406	19267	19611
320	3971253	5425	19462	19454
321	3953492	5279	19340	19663
322	3935377	5420	19370	19701
323	3917410	5493	19359	19595
324	3899392	5592	19508	20034
325	3881420	5665	19411	19501
326	3863114	5498	19611	19971
327	3845221	5503	19359	20079
328	3826991	5477	19553	19990
329	3808671	5543	19487	19845
330	3790398	5638	19523	19770
331	3772079	5499	19736	19999
332	3753735	5589	19476	20269
333	3735130	5654	19736	19818
334	3716662	5680	19568	20290
335	3697950	5681	19519	19992
336	3679023	5602	19710	20089
337	3660501	5558	19606	20267
338	3641631	5766	19368	20256
339	3622764	5692	19323	20099
340	3603800	5843	19739	20105
341	3584653	5678	19582	20201
342	3565405	5758	19614	20377
343	3546380	5893	19378	20248
344	3526913	5829	19680	20639
345	3507395	5948	19589	20423
346	3487793	5744	19597	20519
347	3468079	5799	19335	20584
348	3448513	5857	19291	20626
349	3428985	5915	19556	20357
350	3409329	5802	19556	20589
351	3389436	5870	19536	20443
352	3369689	5974	19345	20473
353	3349848	5950	19646	20505
354	3329793	5855	19347	20426
355	3309646	5723	19303	20600
356	3289596	5814	19178	20617
357	3269273	5918	19045	20535
358	3248831	5912	19101	20218
359	3228897	5882	19087	20267
360	3208730	5906	18969	20586
361	3188473	5827	18791	20586
362	3167836	5788	19071	20405
363	3147041	5886	18951	20564
364	3125938	5727	18918	20208
365	3104820	5767	18678	20419
366	3083358	5763	18639	20244
367	3061881	5623	18483	20195
368	3040024	5731	18273	19919
369	3017950	5668	18187	20146
370	2995370	5612	17944	19684
371	2972411	5594	17963	19915
372	2949170	5476	17541	19668
373	2925353	5244	17170	19507
374	2900718	5342	17018	19166
375	2875050	5261	16841	19059
376	2848411	5135	16476	18572
377	2820580	5046	16048	18526
378	2791291	4876	15752	18110
