# intensity: signal intensity value for overcalled homopolymer
# count: number of overcalls with this intensity value
intensity	count
51	167399
52	205900
53	61343
54	104145
55	64080
56	63106
57	62223
58	61426
59	64313
60	56972
61	56191
62	51145
63	64625
64	44501
65	41747
66	39145
67	41102
68	33487
69	31008
70	28799
71	26300
72	24364
73	22843
74	21098
75	18661
76	23363
77	16551
78	15087
79	14272
80	13435
81	12211
82	11195
83	10451
84	9538
85	8973
86	8491
87	7842
88	9306
89	6675
90	6399
91	6079
92	6334
93	5446
94	5336
95	5297
96	5048
97	4614
98	4207
99	3836
100	3830
101	3229
102	3143
103	2940
104	2674
105	2520
106	2267
107	2114
108	2059
109	1908
110	1759
111	1602
112	1911
113	1422
114	1368
115	1177
116	1172
117	1118
118	1009
119	955
120	884
121	775
122	799
123	708
124	578
125	763
126	587
127	481
128	493
129	450
130	460
131	386
132	369
133	390
134	293
135	312
136	240
137	307
138	199
139	185
140	186
141	219
142	206
143	339
144	236
145	239
146	164
147	90
148	73
149	82
151	90143
152	91052
153	84793
154	112481
155	86126
156	99335
157	66180
158	56267
159	51795
160	47612
161	43524
162	39966
163	37133
164	33623
165	30693
166	27977
167	23309
168	23563
169	21302
170	19128
171	17784
172	16355
173	15290
174	13966
175	10645
176	12721
177	11044
178	10520
179	9193
180	8508
181	8030
182	7276
183	6758
184	6192
185	5832
186	5368
187	5040
188	4543
189	4288
190	3918
191	3872
192	3585
193	3452
194	3149
195	2948
196	2652
197	2524
198	2254
199	2207
200	1911
201	1839
202	1572
203	1540
204	1450
205	1318
206	1200
207	1084
208	1058
209	920
210	873
211	850
212	799
213	737
214	642
215	603
216	546
217	519
218	492
219	439
220	429
221	361
222	349
223	330
224	244
225	298
226	236
227	263
228	232
229	216
230	184
231	163
232	174
233	133
234	155
235	130
236	119
237	112
238	92
239	91
240	88
241	95
242	104
243	156
244	116
245	87
246	80
247	71
248	72
249	86
251	70617
252	59318
253	57626
254	49805
255	70990
256	49596
257	43197
258	29081
259	25165
260	23426
261	22431
262	19811
263	18507
264	16466
265	15222
266	14137
267	12650
268	11515
269	10650
270	9717
271	8989
272	8318
273	7510
274	7032
275	5901
276	6187
277	5366
278	5004
279	4668
280	4554
281	3854
282	3573
283	3354
284	3134
285	2940
286	2694
287	2485
288	2295
289	2082
290	2035
291	1856
292	1621
293	1583
294	1341
295	1309
296	1201
297	1121
298	1030
299	954
300	995
301	770
302	708
303	631
304	599
305	563
306	516
307	438
308	388
309	366
310	331
311	315
312	296
313	283
314	202
315	238
316	206
317	194
318	152
319	169
320	129
321	134
322	117
323	108
324	85
325	86
326	73
327	84
328	70
329	71
330	57
331	49
332	53
333	46
334	47
335	38
336	41
337	26
338	24
339	46
340	26
341	34
342	29
343	32
344	35
345	32
346	27
347	5
348	23
349	39
351	26032
352	41513
353	26553
354	35473
355	21503
356	26817
357	23793
358	16915
359	21028
360	14590
361	13733
362	11512
363	10854
364	9918
365	9160
366	8645
367	8788
368	7505
369	7367
370	6335
371	5962
372	5509
373	5114
374	4733
375	4107
376	4521
377	3787
378	3695
379	3322
380	3268
381	2932
382	2894
383	2535
384	2490
385	2221
386	2231
387	1889
388	1805
389	1737
390	1621
391	1488
392	1561
393	1297
394	1140
395	1061
396	992
397	941
398	885
399	788
400	1020
401	637
402	585
403	556
404	501
405	457
406	424
407	357
408	366
409	317
410	283
411	224
412	239
413	208
414	205
415	186
416	174
417	134
418	159
419	139
420	145
421	109
422	98
423	87
424	82
425	82
426	72
427	66
428	65
429	50
430	54
431	44
432	43
433	48
434	35
435	49
436	25
437	40
438	32
439	27
440	33
441	25
442	23
443	27
444	23
445	47
446	13
447	40
448	9
449	31
451	13613
452	18558
453	12760
454	15697
455	16946
456	12536
457	11454
458	11030
459	9694
460	8643
461	7646
462	7677
463	6502
464	6004
465	5791
466	5585
467	5804
468	4481
469	5045
470	4415
471	3913
472	4076
473	3458
474	3211
475	2936
476	3437
477	2865
478	2835
479	2473
480	2431
481	2157
482	2300
483	2131
484	1731
485	1843
486	1746
487	1387
488	1479
489	1520
490	1321
491	1160
492	1226
493	890
494	992
495	851
496	842
497	809
498	635
499	646
500	796
501	471
502	415
503	435
504	422
505	322
506	343
507	262
508	299
509	246
510	224
511	254
512	193
513	177
514	165
515	156
516	113
517	116
518	130
519	91
520	100
521	82
522	82
523	87
524	56
525	129
526	50
527	65
528	51
529	48
530	39
531	56
532	46
533	55
534	73
535	18
536	44
537	23
538	34
539	26
540	41
541	24
542	19
543	16
544	27
545	30
546	14
547	16
548	16
549	17
551	4710
552	6100
553	4947
554	6799
555	6552
556	4813
557	4356
558	4007
559	3970
560	5177
561	3366
562	4018
563	3464
564	3416
565	3682
566	3490
567	2536
568	2473
569	2533
570	2555
571	2977
572	2356
573	2135
574	1782
575	1721
576	2021
577	2124
578	1562
579	1701
580	1377
581	1381
582	1315
583	1531
584	1111
585	1447
586	949
587	828
588	1064
589	768
590	794
591	748
592	674
593	505
594	609
595	548
596	504
597	502
598	392
599	323
600	450
601	292
602	254
603	297
604	260
605	225
606	217
607	148
608	174
609	183
610	124
611	123
612	140
613	163
614	95
615	145
616	78
617	91
618	85
619	79
620	62
621	124
622	42
623	51
624	60
625	50
626	37
627	54
628	44
629	65
630	41
631	31
632	31
633	28
634	30
635	32
636	31
637	26
638	33
639	28
640	41
641	32
642	21
643	14
644	30
645	31
646	34
647	20
648	20
649	30
651	2092
652	1801
653	1573
654	1733
655	1381
656	1581
657	1582
658	1472
659	1542
660	1624
661	1525
662	1340
663	1083
664	1420
665	1293
666	1192
