# intensity: signal intensity value for undercalled homopolymer
# count: number of undercalls with this intensity value
intensity	count
0	2057
1	1229
2	1162
3	1203
4	1273
5	1262
6	1297
7	1328
8	1420
9	1467
10	1601
11	1727
12	2190
13	1920
14	2086
15	2177
16	2347
17	2496
18	2797
19	3014
20	3428
21	3550
22	3872
23	4028
24	4553
25	5113
26	5410
27	5902
28	6415
29	6920
30	7653
31	8340
32	9041
33	12624
34	11087
35	12399
36	13546
37	17525
38	16427
39	19223
40	19514
41	21625
42	22317
43	38051
44	52491
45	92522
46	102212
47	44381
48	139238
49	69169
51	3730
52	1029
53	446
54	3517
55	656
56	659
57	753
58	787
59	882
60	866
61	1039
62	1014
63	1392
64	1104
65	1227
66	1306
67	1506
68	1372
69	1451
70	1553
71	1596
72	1680
73	1710
74	1812
75	1615
76	2151
77	1963
78	2097
79	2133
80	2410
81	2266
82	2362
83	2395
84	2397
85	2590
86	2620
87	2683
88	3581
89	2926
90	3027
91	3113
92	3391
93	3406
94	3674
95	3935
96	4400
97	4483
98	4354
99	4292
100	4851
101	4611
102	4700
103	5109
104	5481
105	5439
106	5547
107	5609
108	6328
109	6015
110	6371
111	6647
112	8754
113	7574
114	7815
115	8350
116	8920
117	9296
118	9959
119	10526
120	11918
121	12093
122	12768
123	13846
124	13496
125	20250
126	17316
127	18716
128	20101
129	21520
130	23280
131	25228
132	27320
133	33514
134	31461
135	33177
136	35683
137	47577
138	41204
139	45974
140	54787
141	84491
142	87621
143	183685
144	152004
145	99156
146	88053
147	77956
148	80017
149	93177
151	288
152	340
153	366
154	508
155	380
156	452
157	417
158	408
159	459
160	461
161	480
162	511
163	553
164	555
165	586
166	599
167	645
168	646
169	653
170	734
171	715
172	765
173	810
174	777
175	731
176	1130
177	921
178	940
179	1013
180	1006
181	1035
182	1085
183	1107
184	1168
185	1299
186	1298
187	1362
188	1320
189	1477
190	1599
191	1689
192	1824
193	1984
194	2074
195	2051
196	2335
197	2361
198	2398
199	2472
200	2766
201	2856
202	2828
203	2990
204	3362
205	3639
206	3717
207	3711
208	3939
209	4073
210	4423
211	4694
212	4891
213	5222
214	5642
215	6039
216	6211
217	6666
218	7167
219	7636
220	8235
221	8653
222	9349
223	10142
224	9047
225	12594
226	12313
227	13319
228	14151
229	15222
230	16361
231	17886
232	18881
233	17528
234	21801
235	23606
236	25035
237	26923
238	28467
239	30311
240	35855
241	49247
242	45475
243	51064
244	60880
245	61101
246	52824
247	81723
248	71203
249	72446
251	100
252	155
253	181
254	167
255	170
256	189
257	148
258	139
259	152
260	148
261	159
262	170
263	206
264	216
265	206
266	234
267	228
268	206
269	284
270	269
271	286
272	290
273	325
274	345
275	313
276	404
277	415
278	415
279	465
280	477
281	518
282	545
283	556
284	627
285	643
286	695
287	724
288	761
289	839
290	865
291	981
292	1070
293	1071
294	1234
295	1400
296	1409
297	1511
298	1708
299	1832
300	2422
301	2119
302	2223
303	2390
304	2478
305	2694
306	2895
307	3120
308	3252
309	3390
310	3639
311	3868
312	4174
313	4372
314	4546
315	4967
316	5016
317	5308
318	5763
319	6153
320	6559
321	6839
322	7376
323	7602
324	7565
325	9402
326	9153
327	9851
328	10265
329	10868
330	11484
331	12071
332	13103
333	14673
334	14505
335	15537
336	16332
337	17210
338	17848
339	27168
340	18590
341	26467
342	28030
343	32033
344	30011
345	28308
346	29783
347	34785
348	22978
349	46223
351	174
352	314
353	180
354	353
355	218
356	306
357	309
358	250
359	325
360	266
361	296
362	279
363	299
364	300
365	339
366	357
367	435
368	387
369	396
370	436
371	444
372	494
373	504
374	547
375	510
376	660
377	594
378	642
379	701
380	728
381	723
382	794
383	850
384	857
385	897
386	933
387	1034
388	1099
389	1231
390	1258
391	1314
392	1501
393	1487
394	1603
395	1687
396	1705
397	1880
398	1970
399	2117
400	3326
401	2432
402	2652
403	2649
404	2740
405	2999
406	3159
407	3273
408	3749
409	3580
410	3769
411	3704
412	3816
413	4086
414	4244
415	4378
416	4404
417	4598
418	4970
419	4987
420	5630
421	5410
422	5604
423	5814
424	5673
425	6883
426	6641
427	6705
428	7167
429	7393
430	7550
431	7911
432	8103
433	9848
434	8564
435	12227
436	8893
437	11709
438	10700
439	11856
440	15069
441	12368
442	12860
443	16942
444	11607
445	18767
446	13561
447	22983
448	13222
449	24488
451	328
452	483
453	441
454	561
455	573
456	508
457	431
458	664
459	539
460	491
461	495
462	577
463	515
464	521
465	554
466	589
467	622
468	559
469	722
470	716
471	696
472	743
473	696
474	752
475	730
476	897
477	924
478	901
479	913
480	1049
481	901
482	1077
483	1226
484	1056
485	1347
486	1301
487	1164
488	1461
489	1519
490	1469
491	1463
492	1762
493	1575
494	1892
495	1771
496	1872
497	2134
498	1820
499	2045
500	3179
501	2040
502	2128
503	2223
504	2480
505	2381
506	2712
507	2350
508	2712
509	2490
510	2513
511	2944
512	2807
513	2586
514	2790
515	3231
516	2717
517	2962
518	3273
519	2909
520	3409
521	3260
522	3417
523	3599
524	3112
525	5324
526	3216
527	3852
528	3923
529	3914
530	3930
531	4473
532	4230
533	4780
534	7501
535	3867
536	5259
537	5030
538	6292
539	6198
540	7774
541	6439
542	5537
543	5979
544	9367
545	10615
546	6222
547	6780
548	5758
549	8897
551	179
552	231
553	224
554	347
555	330
556	251
557	274
558	253
559	323
560	426
561	294
562	345
563	344
564	327
565	437
566	513
567	360
568	345
569	405
570	448
571	548
572	500
573	490
574	496
575	452
576	631
577	652
578	514
579	619
580	569
581	624
582	635
583	842
584	697
585	859
586	723
587	647
588	886
589	674
590	785
591	945
592	862
593	704
594	919
595	770
596	824
597	981
598	824
599	824
600	1054
601	789
602	786
603	984
604	936
605	878
606	950
607	782
608	931
609	999
610	768
611	895
612	1064
613	1281
614	813
615	1231
616	826
617	1072
618	1015
619	947
620	983
621	1461
622	926
623	1341
624	1511
625	1167
626	1440
627	1709
628	1125
629	1982
630	1399
631	1388
632	1136
633	1554
634	1426
635	1700
636	2143
637	1309
638	1625
639	1504
640	2037
641	2153
642	1343
643	1779
644	1751
645	2248
646	2923
647	1866
648	1959
649	2147
651	79
652	74
653	85
654	82
655	55
656	67
657	95
658	70
659	94
660	105
661	106
662	94
663	84
664	120
665	120
666	103
667	79
668	119
669	124
670	120
671	95
672	138
673	123
674	143
675	129
676	148
677	110
678	121
679	152
680	106
681	182
682	148
683	156
684	155
685	127
686	182
687	141
688	135
689	169
690	166
691	175
692	179
693	142
694	166
695	160
696	138
697	164
698	150
699	187
700	120
701	193
702	158
703	197
704	141
705	146
706	164
707	137
708	135
