size	count
1	36735150
2	3462216
3	1096971
4	576497
5	466451
6	495277
7	578695
8	666556
9	727332
10	747588
11	726609
12	675731
13	603609
14	522417
15	440230
16	362348
17	292549
18	232064
19	182705
20	142979
21	110505
22	85373
23	66372
24	51254
25	39582
26	30865
27	24071
28	19144
29	15222
30	12212
31	9887
32	7918
33	6351
34	5297
35	4278
36	3525
37	2945
38	2489
39	2138
40	1779
41	1428
42	1179
43	1057
44	840
45	699
46	603
47	565
48	470
49	363
50	315
51	298
52	231
53	176
54	186
55	138
56	116
57	113
58	81
59	79
60	65
61	66
62	52
63	40
64	37
65	42
66	28
67	21
68	20
69	21
70	7
71	11
72	18
73	14
74	10
75	15
76	10
77	7
78	5
79	6
80	2
81	8
82	1
83	4
84	7
85	5
86	4
87	5
88	5
89	2
90	3
91	3
92	2
93	2
94	1
95	1
96	3
98	1
99	2
100	2
103	2
104	1
105	1
106	2
116	1
118	1
125	1
129	1
130	1
133	1
139	1
146	1
153	1
185	1
