offset	total	subst	del	ins
0	456120	0	0	0	
1	456120	0	0	0	
2	456120	0	0	0	
3	456120	0	0	0	
4	456120	21	0	0	
5	456120	15	0	0	
6	456120	18	1	0	
7	456120	20	2	0	
8	456120	12	179	8	
9	456120	28	152	11	
10	456120	17	156	6	
11	456120	15	187	16	
12	456120	26	124	10	
13	456120	24	130	5	
14	456120	29	130	11	
15	456120	21	111	4	
16	456120	21	95	7	
17	456120	17	104	8	
18	456120	22	98	13	
19	456120	16	92	28	
20	456120	18	138	32	
21	456120	24	117	54	
22	456120	28	138	74	
23	456120	32	125	78	
24	456120	33	162	81	
25	456120	32	137	83	
26	456120	47	146	99	
27	456120	30	157	106	
28	456120	43	158	121	
29	456120	45	145	99	
30	455866	49	164	127	
31	455606	51	139	106	
32	455361	46	157	110	
33	455071	54	160	108	
34	454780	45	155	96	
35	454523	54	147	105	
36	454228	50	149	84	
37	453974	50	161	114	
38	453665	46	143	117	
39	453352	40	154	118	
40	453061	40	147	118	
41	452816	65	133	101	
42	452527	45	168	88	
43	452257	47	153	91	
44	452001	39	162	107	
45	451689	48	153	93	
46	451394	69	164	93	
47	451123	51	127	85	
48	450824	42	139	69	
49	450535	51	126	100	
50	450273	44	153	92	
51	449965	46	165	97	
52	449660	51	136	114	
53	449379	55	135	77	
54	449062	42	132	86	
55	448772	37	148	85	
56	448497	29	151	83	
57	448188	38	135	71	
58	447915	47	123	80	
59	447601	42	132	90	
60	447303	39	137	88	
61	447020	40	139	79	
62	446682	38	123	84	
63	446373	39	115	73	
64	446039	30	119	94	
65	445755	28	148	69	
66	445487	30	131	79	
67	445180	31	152	73	
68	444885	41	142	67	
69	444581	26	122	65	
70	444262	30	134	43	
71	443946	25	135	74	
72	443657	32	125	68	
73	443350	41	133	68	
74	443044	31	123	49	
75	442754	27	101	65	
76	442451	29	134	63	
77	442130	30	138	69	
78	441803	27	121	73	
79	441504	31	121	63	
80	441176	27	113	75	
81	440872	21	98	68	
82	440566	32	126	51	
83	440235	36	112	61	
84	439924	29	95	73	
85	439590	30	113	57	
86	439239	17	125	55	
87	438917	32	125	54	
88	438550	34	122	48	
89	438206	36	123	53	
90	437910	25	114	42	
91	437583	34	123	62	
