offset	total	subst	del	ins
0	454627	0	0	0	
1	454627	0	0	0	
2	454627	0	0	0	
3	454627	0	0	0	
4	454627	21	0	0	
5	454627	15	0	0	
6	454627	18	1	0	
7	454627	20	2	0	
8	454627	12	179	8	
9	454627	27	152	11	
10	454627	17	155	6	
11	454627	14	186	15	
12	454627	27	123	10	
13	454627	22	131	5	
14	454627	29	130	11	
15	454627	21	111	4	
16	454627	20	95	7	
17	454627	18	103	8	
18	454627	22	99	12	
19	454627	14	91	28	
20	454627	19	136	32	
21	454627	23	116	53	
22	454627	28	137	74	
23	454627	31	123	79	
24	454627	33	161	79	
25	454627	32	136	79	
26	454627	47	146	99	
27	454627	28	156	105	
28	454627	43	159	118	
29	454627	45	145	99	
30	454445	48	165	126	
31	454258	49	139	106	
32	454089	45	154	115	
33	453852	55	159	111	
34	453655	48	156	106	
35	453496	53	146	110	
36	453281	55	150	92	
37	453085	53	164	129	
38	452861	51	144	126	
39	452626	42	155	128	
40	452402	46	146	123	
41	452188	65	133	106	
42	451966	52	171	97	
43	451749	52	153	102	
44	451543	41	162	116	
45	451296	49	154	110	
46	451050	72	166	105	
47	450818	56	129	100	
48	450558	48	143	76	
49	450295	56	130	117	
50	450043	49	158	104	
51	449786	49	163	113	
52	449494	54	138	125	
53	449222	63	135	92	
54	448929	43	132	95	
55	448676	42	150	94	
56	448419	31	153	91	
57	448138	42	140	81	
58	447866	50	123	92	
59	447571	49	132	103	
60	447280	42	137	102	
61	447027	42	146	90	
62	446738	43	122	97	
63	446444	44	118	93	
64	446149	37	122	108	
65	445846	29	154	79	
66	445555	33	129	87	
67	445266	34	154	85	
68	444978	45	144	78	
69	444697	30	126	75	
70	444405	32	133	64	
71	444112	31	134	90	
72	443833	38	128	84	
73	443560	43	137	76	
74	443257	36	126	60	
75	442981	28	101	78	
76	442672	33	134	74	
77	442354	33	140	86	
78	442033	32	121	87	
79	441741	37	122	75	
80	441411	30	112	93	
81	441103	25	99	78	
82	440805	37	131	64	
83	440473	40	113	77	
84	440182	31	100	79	
85	439862	33	115	71	
86	439523	20	128	69	
87	439202	36	127	70	
88	438845	38	123	58	
89	438524	41	128	66	
90	438217	27	116	53	
91	437897	44	125	76	
92	437605	23	134	54	
93	437274	28	110	64	
94	436927	36	105	77	
95	436596	28	137	45	
96	436271	29	135	59	
97	435923	25	119	54	
98	435606	35	136	63	
99	435250	35	128	70	
100	434899	40	135	53	
101	434531	30	122	81	
102	434159	37	121	56	
103	433822	27	121	65	
104	433454	37	95	65	
105	433073	31	125	56	
106	432734	26	125	66	
107	432368	23	123	60	
108	432001	24	98	61	
109	431651	28	114	52	
110	431299	23	110	58	
111	430923	24	93	48	
112	430592	27	130	68	
113	430208	22	105	65	
114	429833	34	106	60	
115	429447	20	104	62	
116	429080	19	103	56	
117	428646	31	123	61	
118	428265	29	114	52	
119	427889	28	104	74	
