offset	total	subst	del	ins
0	453168	0	0	0	
1	453168	0	0	0	
2	453168	0	0	0	
3	453168	0	0	0	
4	453168	328	0	0	
5	453168	320	0	0	
6	453168	327	1	0	
7	453168	389	2	0	
8	453168	449	1376	2331	
9	453168	437	1399	2364	
10	453168	420	1326	2278	
11	453168	429	1369	2234	
12	453168	391	1398	2291	
13	453168	375	1366	2143	
14	453168	331	1203	1767	
15	453168	363	1061	1547	
16	453168	370	1163	1747	
17	453168	428	1293	2176	
18	453168	434	1330	2224	
19	453168	450	1331	2212	
20	453168	467	1308	2182	
21	453168	472	1364	2365	
22	453168	449	1426	2312	
23	453168	480	1323	2176	
24	453168	479	1344	2285	
25	453168	469	1377	2157	
26	453168	468	1318	2202	
27	453168	472	1370	2141	
28	453168	484	1327	2118	
29	453168	469	1366	2053	
30	453106	451	1324	2020	
31	453035	428	1285	1988	
32	452959	461	1265	2041	
33	452868	387	1315	1911	
34	452771	449	1281	1958	
35	452686	415	1235	1899	
36	452593	431	1249	1873	
37	452495	444	1227	1799	
38	452405	422	1250	1832	
39	452284	412	1223	1784	
40	452133	356	1270	1775	
41	451986	395	1216	1741	
42	451843	407	1296	1678	
43	451696	398	1233	1775	
44	451543	443	1205	1703	
45	451380	422	1277	1661	
46	451196	384	1194	1571	
47	451038	342	1139	1603	
48	450843	355	1198	1522	
49	450646	405	1086	1559	
50	450460	397	1171	1614	
51	450242	371	1110	1518	
52	450030	382	1180	1520	
53	449838	372	1176	1617	
54	449606	396	1058	1505	
55	449365	358	1079	1445	
56	449137	354	1085	1468	
57	448936	341	1064	1376	
58	448715	344	1130	1462	
59	448496	341	1089	1351	
60	448267	364	1068	1330	
61	448056	374	1113	1392	
62	447791	333	1032	1357	
63	447555	384	1070	1392	
64	447329	327	1030	1431	
65	447081	346	1009	1344	
66	446833	339	1000	1379	
67	446573	368	979	1370	
68	446313	312	962	1319	
69	446062	320	1047	1323	
70	445808	338	1055	1320	
71	445535	324	998	1336	
72	445293	349	961	1333	
73	445040	300	972	1250	
74	444766	350	972	1259	
75	444507	320	979	1263	
76	444230	331	920	1197	
77	443985	301	947	1256	
78	443702	342	924	1189	
79	443441	318	1035	1239	
80	443128	306	956	1213	
81	442832	312	919	1177	
82	442568	344	917	1185	
83	442287	283	938	1133	
84	442006	317	885	1230	
85	441688	275	990	1157	
86	441400	275	892	1202	
87	441086	309	885	1203	
88	440766	284	881	1165	
89	440473	283	867	1153	
90	440172	320	833	1097	
91	439847	302	938	1190	
92	439580	313	939	1163	
93	439293	293	854	1179	
94	439011	299	930	1091	
95	438702	326	882	1185	
96	438357	300	861	1172	
97	438047	265	894	1136	
98	437739	273	826	1102	
99	437422	274	897	1103	
100	437074	289	851	1127	
101	436717	301	827	1183	
102	436398	299	837	1057	
103	436056	308	863	1118	
104	435704	273	857	1110	
105	435353	258	795	1141	
106	435020	288	796	1093	
107	434684	257	827	1061	
108	434314	300	844	1024	
109	433981	280	830	1076	
110	433636	294	789	1052	
111	433287	274	750	1070	
112	432932	258	841	1095	
113	432583	280	816	1075	
114	432235	274	818	1105	
115	431892	266	795	1051	
116	431520	262	808	1089	
117	431150	269	821	1001	
