offset	total	subst	del	ins
0	637067	0	0	0	
1	637067	0	0	0	
2	637067	0	0	0	
3	637067	0	0	0	
4	637067	13	0	0	
5	637067	9	0	0	
6	637067	5	1	0	
7	637067	16	0	0	
8	637067	5	229	10	
9	637067	8	262	6	
10	637067	13	255	8	
11	637067	12	278	9	
12	637067	17	271	10	
13	637067	15	247	5	
14	637067	17	276	8	
15	637067	20	247	11	
16	637067	7	234	6	
17	637067	6	230	9	
18	637067	9	278	9	
19	637067	6	231	17	
20	637067	9	248	26	
21	637067	6	261	16	
22	637067	12	243	32	
23	637067	7	242	43	
24	637067	13	269	47	
25	637067	20	260	41	
26	637067	25	260	48	
27	637067	18	264	38	
28	637067	28	316	61	
29	637067	25	285	49	
30	636980	29	265	47	
31	636890	26	264	61	
32	636782	22	281	43	
33	636701	28	300	67	
34	636588	25	268	65	
35	636466	28	287	63	
36	636354	31	290	65	
37	636240	27	315	79	
38	636119	36	269	61	
39	635983	22	322	66	
40	635841	35	336	53	
41	635714	29	305	55	
42	635582	25	282	75	
43	635445	27	270	65	
44	635291	25	285	61	
45	635146	36	335	66	
46	634995	16	306	77	
47	634824	26	308	76	
48	634654	36	280	60	
49	634458	25	271	60	
50	634286	28	263	66	
51	634124	26	282	79	
52	633963	21	280	75	
53	633796	23	254	72	
54	633610	27	286	80	
55	633413	34	243	83	
56	633209	26	314	65	
57	633008	32	267	60	
58	632810	22	275	68	
59	632631	24	289	68	
60	632425	29	299	58	
61	632215	17	274	54	
62	631986	23	269	84	
63	631779	37	295	57	
64	631593	27	288	64	
65	631381	20	304	58	
66	631181	37	301	55	
67	630971	26	287	58	
68	630769	25	308	69	
69	630520	20	292	54	
70	630313	22	275	64	
71	630113	32	319	59	
72	629890	22	272	50	
73	629687	30	291	62	
74	629470	27	282	61	
75	629233	29	293	75	
76	628987	25	294	65	
77	628751	28	284	57	
78	628497	10	291	69	
79	628236	25	304	61	
80	627974	32	292	52	
81	627745	10	301	48	
82	627518	27	274	51	
83	627267	24	302	74	
84	627022	22	292	63	
85	626762	18	323	50	
86	626511	17	281	61	
87	626251	20	241	55	
88	625979	20	300	61	
89	625709	33	315	46	
90	625421	27	280	64	
91	625175	20	244	67	
92	624901	25	285	52	
93	624616	24	356	51	
94	624360	18	290	56	
95	624075	25	250	57	
96	623798	27	283	41	
97	623541	22	288	58	
98	623248	26	285	47	
99	622989	14	275	57	
100	622698	29	275	56	
101	622410	17	275	55	
102	622112	28	316	55	
103	621828	28	295	49	
104	621534	23	309	52	
105	621243	12	254	46	
106	620884	17	240	52	
107	620579	30	273	48	
108	620252	25	276	55	
109	619954	17	296	59	
110	619632	18	285	50	
111	619302	21	276	58	
112	618982	14	260	48	
113	618645	18	248	50	
114	618311	21	305	43	
115	617964	25	282	59	
116	617629	25	259	49	
117	617298	14	287	59	
118	616967	26	301	57	
119	616633	24	252	64	
120	616280	21	267	42	
121	615939	30	280	49	
122	615581	24	250	39	
123	615179	32	263	44	
124	614787	20	271	40	
125	614424	13	259	61	
126	614031	20	271	48	
127	613636	26	285	44	
128	613243	23	254	48	
129	612848	25	309	53	
130	612446	17	301	38	
131	612079	22	257	54	
132	611658	16	300	55	
133	611218	29	251	50	
134	610817	29	284	51	
135	610399	19	260	45	
136	609969	13	296	42	
137	609530	17	257	39	
138	609113	15	281	36	
139	608677	25	307	47	
140	608173	13	276	43	
141	607679	20	244	45	
142	607239	27	254	42	
143	606781	20	275	38	
144	606329	21	261	46	
145	605811	24	274	36	
146	605308	25	267	51	
147	604826	29	243	37	
148	604355	25	276	50	
149	603842	20	271	45	
150	603300	19	280	36	
151	602781	23	293	42	
152	602273	21	305	55	
153	601719	24	266	42	
154	601159	31	281	54	
155	600627	13	262	36	
156	600104	14	276	42	
157	599563	21	265	48	
158	599019	15	268	48	
159	598491	32	281	45	
160	597898	13	267	49	
161	597366	20	244	41	
162	596820	17	253	38	
163	596267	24	268	56	
164	595709	19	280	44	
165	595156	31	289	39	
166	594572	15	257	41	
167	593990	16	265	48	
168	593428	21	243	44	
169	592835	26	267	39	
170	592248	14	247	39	
171	591650	18	283	52	
172	591036	21	243	39	
173	590386	25	270	44	
174	589751	17	271	42	
175	589141	15	280	48	
176	588464	21	226	31	
177	587832	28	281	42	
178	587175	15	221	47	
179	586473	22	260	42	
180	585836	21	269	43	
181	585185	21	252	51	
182	584482	17	225	36	
183	583747	14	254	48	
184	583010	27	263	46	
185	582289	16	233	46	
186	581605	27	255	55	
187	580902	19	236	49	
188	580209	30	259	37	
189	579542	27	241	32	
190	578752	22	251	47	
191	577983	18	248	24	
192	577222	15	266	42	
193	576453	22	261	53	
