offset	total	subst	del	ins
0	635321	0	0	0	
1	635321	0	0	0	
2	635321	0	0	0	
3	635321	0	0	0	
4	635321	299	0	0	
5	635321	302	0	0	
6	635321	278	1	0	
7	635321	340	0	0	
8	635321	368	1120	1397	
9	635321	351	1020	1440	
10	635321	335	1068	1327	
11	635321	323	1084	1334	
12	635321	376	1118	1299	
13	635321	377	997	1247	
14	635321	334	974	1068	
15	635321	354	976	953	
16	635321	315	1003	1082	
17	635321	386	1020	1233	
18	635321	335	1031	1347	
19	635321	374	1023	1236	
20	635321	392	994	1213	
21	635321	363	1042	1255	
22	635321	407	987	1268	
23	635321	389	964	1281	
24	635321	382	953	1283	
25	635321	361	965	1206	
26	635321	402	960	1254	
27	635321	400	963	1223	
28	635321	373	999	1230	
29	635321	367	944	1116	
30	635292	380	952	1172	
31	635262	395	938	1134	
32	635234	379	929	1124	
33	635207	373	1005	1133	
34	635172	399	910	1081	
35	635126	391	935	1091	
36	635089	425	908	1018	
37	635031	353	932	1006	
38	634964	384	980	1053	
39	634897	403	920	1047	
40	634819	382	1003	1004	
41	634733	366	963	984	
42	634639	396	944	1000	
43	634550	376	943	1021	
44	634456	365	961	944	
45	634326	342	914	893	
46	634230	342	881	964	
47	634107	368	884	917	
48	633995	359	915	937	
49	633848	352	868	942	
50	633738	364	891	901	
51	633604	360	862	864	
52	633448	354	860	931	
53	633324	332	854	873	
54	633215	350	833	909	
55	633068	388	848	871	
56	632917	354	900	830	
57	632754	338	894	864	
58	632590	346	869	815	
59	632444	355	839	832	
60	632286	368	910	813	
61	632111	352	812	855	
62	631944	325	836	811	
63	631768	369	856	861	
64	631609	357	880	855	
65	631429	360	843	811	
66	631246	383	865	788	
67	631076	325	777	817	
68	630914	335	795	794	
69	630748	353	844	813	
70	630555	341	807	753	
71	630359	305	878	768	
72	630184	343	809	794	
73	629996	327	834	758	
74	629785	348	834	744	
75	629567	353	848	770	
76	629387	366	826	738	
77	629162	335	822	763	
78	628947	361	897	751	
79	628720	331	786	796	
80	628509	334	793	721	
81	628288	309	808	679	
82	628074	385	816	744	
83	627837	339	822	739	
84	627633	277	819	734	
85	627390	339	792	721	
86	627173	340	768	753	
87	626918	340	799	735	
88	626701	315	750	681	
89	626464	378	791	707	
90	626189	339	836	713	
91	625931	319	793	715	
92	625670	329	805	705	
93	625426	346	863	679	
94	625169	339	769	732	
95	624919	344	743	692	
96	624685	338	790	713	
97	624428	313	750	675	
98	624163	321	767	702	
99	623896	321	759	669	
100	623622	336	754	646	
101	623368	307	696	677	
102	623104	323	745	673	
103	622836	314	773	711	
104	622562	337	805	708	
105	622298	303	665	720	
106	621983	325	711	665	
107	621657	335	691	709	
108	621362	323	708	709	
109	621032	311	791	733	
110	620724	324	663	671	
111	620450	352	749	683	
112	620122	315	724	626	
113	619797	317	766	677	
114	619471	338	730	671	
115	619128	332	775	669	
116	618815	364	724	604	
117	618474	284	773	636	
118	618172	314	703	660	
119	617855	344	680	620	
120	617506	322	725	679	
121	617163	300	744	634	
122	616822	332	712	691	
123	616467	328	703	651	
124	616103	313	700	633	
125	615746	321	723	676	
126	615377	309	770	685	
127	614979	361	743	660	
128	614619	341	731	656	
129	614238	309	739	626	
130	613802	307	736	655	
131	613436	318	736	622	
132	613039	310	772	639	
133	612609	352	677	636	
134	612206	317	745	595	
135	611808	334	716	655	
136	611400	303	753	689	
137	610948	333	672	641	
138	610565	310	709	611	
139	610122	348	763	638	
140	609693	295	665	657	
141	609250	336	686	630	
142	608788	293	702	633	
143	608297	307	719	609	
144	607858	329	747	648	
145	607397	332	684	627	
146	606917	312	714	652	
147	606447	342	714	660	
148	605956	303	736	654	
149	605502	346	693	656	
150	604960	302	755	649	
151	604438	306	718	625	
152	603940	311	739	648	
153	603397	300	736	634	
154	602849	296	714	628	
155	602289	288	681	645	
156	601767	275	681	581	
157	601262	322	702	636	
158	600729	326	762	643	
159	600186	326	733	673	
160	599595	359	701	694	
161	599035	297	698	667	
162	598482	318	704	644	
163	597960	345	748	608	
164	597403	295	718	606	
165	596862	315	751	628	
166	596297	341	704	618	
167	595725	300	732	650	
168	595177	291	719	608	
169	594605	309	675	644	
170	594007	304	699	625	
171	593448	290	756	691	
172	592813	311	719	626	
173	592169	291	781	649	
174	591546	294	716	698	
175	590927	305	748	668	
176	590299	334	711	656	
177	589659	315	773	686	
178	589045	302	755	658	
179	588382	299	750	656	
180	587698	288	737	651	
181	587054	296	729	681	
182	586374	324	753	666	
183	585688	332	719	657	
184	585004	306	754	662	
185	584261	311	684	630	
186	583559	329	708	625	
187	582843	315	720	665	
188	582176	308	726	648	
189	581486	316	751	645	
190	580759	290	768	662	
191	580012	316	740	658	
192	579247	329	731	648	
193	578455	325	749	604	
194	577718	294	714	660	
195	576941	315	747	666	
196	576179	299	788	622	
197	575390	299	759	646	
198	574549	340	749	668	
199	573737	287	720	646	
200	572950	287	734	682	
201	572173	306	772	628	
202	571282	298	761	630	
203	570415	314	766	653	
204	569543	301	683	665	
205	568665	288	792	676	
206	567842	305	770	680	
207	566959	295	711	640	
208	566096	341	786	692	
209	565183	313	723	663	
210	564223	284	750	652	
211	563251	337	757	635	
212	562316	328	743	701	
213	561317	315	703	632	
214	560266	294	736	690	
215	559237	292	689	694	
216	558158	269	704	665	
217	557112	303	736	661	
218	556000	284	775	645	
219	554911	307	700	757	
220	553721	313	745	736	
221	552540	288	750	713	
222	551320	317	719	719	
223	550086	275	703	669	
224	548797	273	720	690	
225	547476	293	730	682	
226	546126	300	718	682	
227	544730	304	781	692	
228	543294	269	714	716	
229	541794	300	728	654	
230	540237	299	756	688	
231	538655	283	694	664	
232	536955	279	742	683	
233	535076	287	693	668	
234	533137	279	733	628	
235	531047	267	690	616	
236	528707	268	685	641	
237	526151	246	652	636	
238	523438	261	681	639	
239	520403	257	629	617	
240	517053	246	707	670	
241	513397	260	619	578	
242	509285	258	620	613	
243	504584	229	611	600	
244	499087	222	599	525	
245	492972	210	573	511	
246	486114	226	602	508	
247	478263	212	518	461	
