offset	total	subst	del	ins
0	637616	0	0	0	
1	637616	0	0	0	
2	637616	0	0	0	
3	637616	0	0	0	
4	637616	13	0	0	
5	637616	9	0	0	
6	637616	5	0	0	
7	637616	16	0	0	
8	637616	5	230	10	
9	637616	8	260	6	
10	637616	13	254	8	
11	637616	12	278	9	
12	637616	16	271	10	
13	637616	15	247	5	
14	637616	17	276	8	
15	637616	20	247	11	
16	637616	7	234	6	
17	637616	5	230	9	
18	637616	9	278	9	
19	637616	6	230	17	
20	637616	9	248	26	
21	637616	6	260	17	
22	637616	13	244	32	
23	637616	6	242	43	
24	637616	13	270	47	
25	637616	20	261	41	
26	637616	24	261	51	
27	637616	18	262	39	
28	637616	29	316	61	
29	637616	24	285	51	
30	637486	27	263	46	
31	637344	25	265	61	
32	637195	23	279	42	
33	637052	29	298	64	
34	636888	23	270	60	
35	636729	26	283	54	
36	636564	29	286	52	
37	636389	20	311	73	
38	636214	33	272	50	
39	636027	21	321	60	
40	635856	28	333	47	
41	635700	26	306	49	
42	635534	23	280	59	
43	635363	22	270	51	
44	635193	17	280	49	
45	635028	30	333	50	
46	634831	14	305	60	
47	634636	21	307	65	
48	634446	30	280	50	
49	634239	25	269	49	
50	634055	24	258	54	
51	633874	24	278	60	
52	633696	18	279	63	
53	633524	19	253	55	
54	633317	23	286	61	
55	633098	27	245	61	
56	632912	23	313	52	
57	632697	27	267	40	
58	632495	19	272	51	
59	632277	14	286	60	
60	632088	25	297	46	
61	631901	14	273	46	
62	631659	18	268	75	
63	631443	32	295	48	
64	631243	22	287	49	
65	631029	17	303	48	
66	630794	30	299	42	
67	630601	21	285	45	
68	630369	24	307	56	
69	630124	16	288	41	
70	629927	21	273	50	
71	629705	27	321	42	
72	629457	15	270	32	
73	629241	25	289	51	
74	629006	25	279	51	
75	628763	24	292	57	
76	628505	23	290	49	
77	628270	22	283	43	
78	628002	11	291	47	
79	627758	20	304	39	
80	627498	25	290	44	
81	627260	8	300	39	
82	627024	23	271	35	
83	626776	21	300	58	
84	626520	14	290	48	
85	626285	12	320	35	
86	626033	11	278	42	
87	625766	16	240	36	
88	625485	16	297	44	
89	625206	25	312	36	
90	624942	20	280	53	
91	624674	17	242	42	
92	624410	23	283	33	
93	624120	19	352	35	
94	623842	15	290	40	
95	623586	17	247	38	
96	623311	20	281	32	
97	623024	17	286	41	
98	622731	19	285	35	
99	622470	11	272	45	
100	622176	26	274	38	
101	621881	12	273	36	
102	621576	19	313	40	
103	621306	22	292	39	
104	621016	19	309	36	
105	620701	10	250	33	
106	620356	10	235	39	
107	620048	24	272	32	
108	619727	22	273	33	
109	619427	12	295	33	
110	619093	16	281	34	
111	618762	16	274	44	
112	618443	9	258	34	
113	618087	15	245	36	
114	617776	16	303	32	
115	617408	19	281	40	
116	617074	18	259	31	
117	616742	10	285	40	
118	616403	22	299	39	
119	616061	18	250	47	
120	615708	19	265	25	
121	615355	25	279	29	
122	614990	19	250	27	
123	614593	25	262	31	
124	614204	16	269	31	
125	613808	8	254	39	
126	613429	13	270	35	
127	613052	18	284	28	
128	612651	15	251	30	
129	612263	18	305	42	
130	611830	15	300	28	
131	611467	21	255	44	
132	611050	14	298	39	
133	610610	26	245	41	
134	610192	23	281	33	
135	609777	16	257	29	
136	609338	10	291	26	
137	608900	10	256	29	
138	608474	15	277	25	
139	608042	18	306	31	
140	607551	9	276	32	
141	607067	13	242	32	
142	606613	24	249	31	
143	606148	15	271	22	
144	605689	17	257	27	
145	605168	17	271	24	
146	604640	18	264	31	
147	604133	25	241	24	
148	603672	19	275	30	
149	603141	11	269	32	
150	602608	11	277	24	
151	602096	15	292	26	
152	601568	18	300	36	
153	601023	17	264	28	
154	600471	24	277	29	
155	599944	9	258	26	
156	599411	8	275	29	
157	598865	14	262	31	
158	598318	9	265	32	
159	597786	23	279	32	
160	597212	9	262	36	
161	596692	13	243	31	
162	596151	13	250	24	
163	595591	19	265	39	
164	595038	15	275	22	
165	594458	19	288	24	
166	593880	14	255	28	
167	593283	12	263	31	
168	592715	16	238	32	
169	592124	16	263	26	
170	591533	11	246	25	
171	590936	12	281	37	
172	590289	15	241	27	
173	589636	16	270	23	
174	588978	10	266	27	
175	588376	8	275	31	
176	587710	15	222	16	
177	587060	20	279	17	
178	586427	13	215	25	
179	585710	22	260	25	
180	585023	12	266	31	
181	584350	16	243	34	
182	583641	13	225	21	
183	582917	12	252	37	
184	582172	16	262	30	
185	581485	12	231	30	
186	580800	18	252	31	
187	580087	11	232	37	
188	579416	20	255	24	
189	578741	21	241	16	
190	577964	13	247	34	
191	577192	13	245	14	
192	576449	9	261	26	
193	575677	18	256	35	
194	574897	9	263	25	
195	574152	21	225	27	
196	573344	18	254	23	
197	572483	16	253	20	
198	571667	15	220	29	
199	570838	21	224	34	
200	570020	25	229	25	
201	569203	21	241	34	
202	568239	13	241	25	
203	567390	10	267	29	
204	566502	16	243	20	
205	565668	14	256	27	
206	564797	9	258	29	
207	563882	22	244	32	
208	562953	14	247	23	
209	562002	16	239	29	
210	560998	17	222	26	
211	559984	19	240	20	
212	558968	11	235	23	
213	557960	13	222	29	
214	556900	10	225	23	
215	555810	14	226	22	
216	554714	10	204	33	
217	553574	10	228	24	
218	552433	16	224	28	
219	551272	12	222	28	
220	550025	16	219	18	
221	548808	17	210	25	
222	547551	13	231	20	
223	546216	11	194	19	
224	544864	13	202	15	
225	543494	11	217	21	
226	542079	20	220	13	
227	540525	15	220	19	
228	538924	12	221	17	
229	537309	12	209	18	
230	535662	10	197	20	
231	533827	2	191	18	
232	531871	12	196	14	
233	529813	11	181	9	
234	527591	5	197	24	
235	525119	9	192	11	
236	522454	3	168	14	
237	519565	4	142	14	
238	516391	9	185	10	
239	512909	6	156	9	
240	509127	4	169	5	
241	504893	3	140	8	
242	500047	4	140	11	
243	494343	7	150	8	
244	487970	6	113	5	
245	480867	7	133	4	
246	472882	4	143	4	
247	463759	4	119	7	
248	453406	2	100	2	
249	441793	3	98	4	
250	428981	1	83	4	
251	414933	1	84	2	
252	399685	4	68	1	
253	383106	2	50	2	
254	365585	0	59	7	
255	347221	1	52	0	
256	328244	1	31	1	
257	308829	4	31	1	
258	289161	1	35	1	
259	269211	1	33	2	
260	249392	0	25	1	
261	229530	0	33	0	
262	210472	0	18	0	
263	191404	0	19	2	
264	173142	1	14	0	
265	155453	0	14	0	
266	138880	0	9	0	
267	123178	0	13	0	
268	108308	0	13	0	
269	94791	0	8	0	
270	81974	0	2	0	
271	70296	0	5	1	
272	59693	1	2	0	
273	50308	0	1	0	
274	41974	0	4	1	
275	34790	1	0	1	
276	28600	0	1	0	
277	23339	0	1	0	
278	18914	0	0	0	
279	15059	0	0	0	
280	11948	0	0	0	
281	9470	0	0	1	
282	7495	0	0	0	
283	5853	0	0	0	
284	4645	0	0	0	
285	3685	0	2	0	
286	2905	1	0	1	
287	2315	0	0	0	
288	1901	0	0	0	
289	1570	0	0	0	
290	1319	0	0	0	
291	1103	0	0	0	
292	924	0	0	0	
293	799	0	0	0	
294	697	0	0	0	
295	616	0	0	0	
296	539	0	0	0	
297	476	0	0	0	
298	425	0	0	0	
299	391	0	0	0	
300	338	0	0	0	
301	301	0	0	0	
302	270	0	0	0	
303	243	0	0	0	
304	209	0	0	0	
305	189	0	0	0	
306	166	0	0	0	
307	141	0	0	0	
308	121	0	0	0	
309	114	0	0	0	
310	102	0	0	0	
311	90	0	0	0	
312	85	0	1	0	
313	80	0	0	0	
314	72	0	0	0	
315	66	0	0	0	
316	58	0	0	0	
317	54	0	0	0	
318	47	0	0	0	
319	43	0	0	0	
320	40	0	0	0	
321	34	0	0	0	
322	30	0	0	0	
323	27	0	0	0	
324	25	0	0	0	
325	24	0	0	0	
326	23	0	0	0	
327	22	0	0	0	
328	20	0	0	0	
329	20	0	0	0	
330	19	0	0	0	
331	18	0	0	0	
332	18	0	0	0	
333	17	0	0	0	
334	17	0	0	0	
335	15	0	0	0	
336	15	0	0	0	
337	14	0	0	0	
338	14	0	0	0	
339	14	0	0	0	
340	14	0	0	0	
341	14	0	0	0	
342	14	0	0	0	
343	13	0	0	0	
344	11	0	0	0	
345	10	0	0	0	
346	10	0	0	0	
347	10	0	0	0	
348	9	0	0	0	
349	7	0	0	0	
350	6	0	0	0	
351	5	0	0	0	
352	5	0	0	0	
353	5	0	0	0	
354	5	0	0	0	
355	5	0	0	0	
356	5	0	0	0	
357	4	0	0	0	
358	3	0	0	0	
359	3	0	0	0	
360	2	0	0	0	
361	2	0	0	0	
362	2	0	0	0	
363	2	0	0	0	
364	1	0	0	0	
365	1	0	0	0	
366	1	0	0	0	
