offset	total	subst	del	ins
0	1473026	0	0	0	
1	1473026	0	0	0	
2	1473026	0	0	0	
3	1473026	0	0	0	
4	1473026	103	0	0	
5	1473026	94	0	0	
6	1473026	89	0	0	
7	1473026	100	0	0	
8	1473026	75	211	7	
9	1473026	102	326	9	
10	1473026	122	388	10	
11	1473026	149	387	16	
12	1473026	199	387	13	
13	1473026	266	366	22	
14	1473026	323	438	20	
15	1473026	391	437	27	
16	1473026	533	454	40	
17	1473026	589	462	44	
18	1473026	680	406	55	
19	1473026	719	474	81	
20	1473026	745	547	82	
21	1473026	814	525	119	
22	1473026	834	500	120	
23	1473026	749	477	160	
24	1473026	614	520	152	
25	1473026	564	545	137	
26	1473026	465	553	145	
27	1473026	383	547	189	
28	1473026	264	509	147	
29	1473026	178	489	130	
30	1472718	155	519	147	
31	1472391	164	532	189	
32	1472069	147	515	153	
33	1471730	155	522	171	
34	1471398	149	554	191	
35	1471084	165	552	174	
36	1470763	152	543	203	
37	1470448	177	541	218	
38	1470065	147	548	200	
39	1469722	175	624	203	
40	1469361	173	591	229	
41	1468985	175	566	256	
42	1468586	194	550	261	
43	1468160	189	596	237	
44	1467740	176	549	215	
45	1467301	182	526	241	
46	1466866	183	592	234	
47	1466333	154	602	253	
48	1465793	162	564	270	
49	1465220	184	579	260	
50	1464645	189	536	250	
51	1464041	214	568	250	
52	1463383	199	597	260	
53	1462730	198	577	265	
54	1462044	209	608	258	
55	1461291	222	595	266	
56	1460533	198	574	247	
57	1459714	207	599	256	
58	1458875	222	570	257	
59	1457953	212	544	267	
60	1457025	229	658	243	
61	1456029	195	562	254	
62	1454934	187	549	277	
63	1453828	223	564	241	
64	1452619	201	549	272	
65	1451343	230	601	259	
66	1449975	226	567	231	
67	1448484	243	583	256	
68	1446904	242	587	285	
69	1445158	234	568	259	
70	1443318	234	561	256	
71	1441308	212	606	238	
72	1439083	218	555	264	
73	1436743	253	526	245	
74	1434256	225	564	215	
75	1431545	225	511	222	
76	1428609	231	574	217	
77	1425366	250	510	257	
78	1421898	207	536	244	
79	1418151	232	545	244	
80	1414024	213	514	210	
81	1409602	224	480	226	
82	1404702	203	527	183	
83	1399469	228	492	196	
84	1393829	225	464	185	
85	1387824	210	563	189	
86	1381387	237	483	166	
87	1374093	198	459	159	
88	1366282	196	484	165	
89	1357937	215	433	162	
90	1348680	170	432	165	
91	1338892	201	412	153	
92	1328114	197	462	148	
93	1316694	165	410	130	
94	1304182	206	434	119	
95	1291000	149	363	94	
96	1276598	158	404	112	
97	1261293	169	349	97	
98	1244849	147	351	93	
99	1226894	147	313	87	
100	1207844	144	279	76	
101	1187581	137	273	67	
102	1165824	126	263	58	
103	1142660	122	282	55	
104	1118113	114	266	64	
105	1091602	103	243	55	
106	1063436	95	223	41	
107	1033513	82	190	33	
108	1001677	77	196	34	
109	968264	62	202	30	
110	933096	63	150	26	
111	895118	51	140	24	
112	856015	55	106	23	
113	814494	49	90	16	
114	770787	38	109	6	
115	726036	27	84	5	
116	679520	20	74	12	
117	631650	20	64	5	
118	583657	18	71	5	
119	535573	28	40	4	
120	487770	12	30	0	
121	441061	15	29	0	
122	396233	15	28	1	
123	352855	10	17	4	
124	311968	7	21	0	
125	273640	9	14	0	
126	238320	8	6	0	
127	206200	2	8	0	
128	177191	5	9	1	
129	151592	5	9	0	
130	129111	1	4	1	
131	109698	3	1	0	
132	93182	1	0	1	
133	79133	1	1	0	
134	67608	0	2	0	
135	58173	0	2	0	
136	50415	1	0	0	
137	44063	1	0	0	
138	39000	0	0	0	
139	34979	1	0	0	
140	31813	0	0	0	
141	29364	0	0	0	
142	27271	0	0	0	
143	25643	0	0	0	
144	24344	0	0	0	
145	23250	0	0	0	
146	22334	0	0	0	
147	21609	0	0	0	
148	20921	0	0	0	
149	20275	0	0	0	
150	19725	0	0	0	
151	19181	0	0	0	
152	18669	0	0	0	
153	18142	0	0	0	
154	17580	0	0	0	
155	17050	0	0	0	
156	16557	0	0	0	
157	16034	0	0	0	
158	15564	0	0	0	
159	15070	0	0	0	
160	14557	0	0	0	
161	14054	0	0	0	
162	13573	0	0	0	
163	13038	0	0	0	
164	12533	0	0	0	
165	11986	0	0	0	
166	11473	0	0	0	
167	10941	0	0	0	
168	10450	0	0	0	
169	9932	0	0	0	
170	9410	0	0	0	
171	8898	0	0	0	
172	8370	0	0	0	
173	7894	0	0	0	
174	7355	0	0	0	
175	6846	0	0	0	
176	6343	0	0	0	
177	5815	0	0	0	
178	5338	0	0	0	
179	4835	0	0	0	
180	4320	0	0	0	
181	3851	0	0	0	
182	3368	0	0	0	
183	2940	0	0	0	
184	2508	0	0	0	
185	2142	0	0	0	
186	1763	0	0	0	
187	1417	0	0	0	
188	1093	0	0	0	
189	835	0	0	0	
190	645	0	0	0	
191	478	0	0	0	
192	345	0	0	0	
193	243	0	0	0	
194	158	0	0	0	
195	99	0	0	0	
196	61	0	0	0	
197	33	0	0	0	
198	17	0	0	0	
199	10	0	0	0	
200	9	0	0	0	
201	5	0	0	0	
202	1	0	0	0	
