offset	total	subst	del	ins
0	1472963	0	0	0	
1	1472963	0	0	0	
2	1472963	0	0	0	
3	1472963	1	0	0	
4	1472963	696	0	0	
5	1472963	771	0	0	
6	1472963	890	1	0	
7	1472963	1036	1	0	
8	1472963	1251	1158	716	
9	1472963	1341	1442	971	
10	1472963	1502	1648	1177	
11	1472963	1432	1795	1292	
12	1472963	1587	1807	1370	
13	1472963	1488	2019	1365	
14	1472963	1521	2086	1558	
15	1472963	1484	2130	1475	
16	1472963	1417	2156	1509	
17	1472963	1503	2218	1487	
18	1472963	1413	2105	1521	
19	1472963	1387	2127	1460	
20	1472963	1382	2136	1556	
21	1472963	1330	2152	1448	
22	1472963	1282	2086	1511	
23	1472963	1214	2040	1509	
24	1472963	1037	2065	1422	
25	1472963	959	1985	1471	
26	1472963	798	2077	1467	
27	1472963	768	2127	1509	
28	1472963	786	2105	1505	
29	1472963	740	2137	1535	
30	1472925	756	2188	1561	
31	1472889	761	2219	1672	
32	1472850	767	2209	1654	
33	1472808	752	2290	1776	
34	1472771	752	2373	1662	
35	1472731	748	2463	1769	
36	1472695	826	2410	1767	
37	1472655	815	2407	1765	
38	1472609	860	2469	1840	
39	1472560	844	2585	1878	
40	1472506	850	2607	1949	
41	1472446	838	2600	1923	
42	1472392	861	2608	1945	
43	1472331	915	2704	1885	
44	1472258	890	2679	1914	
45	1472188	876	2689	1924	
46	1472118	872	2759	1957	
47	1472038	917	2879	2029	
48	1471949	890	2686	2029	
49	1471850	912	2803	2076	
50	1471731	920	2850	2041	
51	1471576	963	2826	2063	
52	1471424	943	2824	2053	
53	1471255	961	2891	2162	
54	1471086	996	2878	2206	
55	1470881	1025	2926	2113	
56	1470695	1008	2953	2211	
57	1470467	1015	3087	2206	
58	1470237	1078	2944	2324	
59	1469998	1016	3115	2265	
60	1469737	1045	3208	2225	
61	1469456	1047	3209	2396	
62	1469120	1060	3273	2360	
63	1468774	1032	3319	2521	
64	1468379	1144	3356	2524	
65	1467957	1086	3404	2525	
66	1467512	1194	3548	2489	
67	1467047	1179	3492	2625	
68	1466479	1162	3597	2499	
69	1465867	1155	3656	2647	
70	1465172	1171	3670	2663	
71	1464342	1143	3653	2687	
72	1463426	1248	3836	2651	
73	1462438	1261	3874	2675	
74	1461323	1272	3721	2731	
75	1460069	1266	3804	2732	
76	1458723	1292	3951	2764	
77	1457176	1336	3915	2705	
78	1455337	1305	3875	2877	
79	1453381	1366	3804	2873	
80	1451067	1354	3878	2854	
81	1448600	1318	4089	2910	
82	1445758	1308	3982	2902	
83	1442659	1333	3881	2873	
84	1439206	1359	3984	2862	
85	1435309	1419	4135	2921	
86	1430940	1379	4096	2923	
87	1426195	1284	4008	2866	
88	1420827	1398	4139	2918	
89	1414747	1429	4166	2968	
90	1408112	1362	4130	2911	
91	1400868	1354	4112	2908	
92	1392787	1373	4186	2862	
93	1383991	1433	4216	2926	
94	1374202	1337	4150	2896	
95	1363755	1320	4098	2794	
96	1352255	1340	4136	2857	
97	1339632	1385	3993	2818	
98	1325787	1386	4017	2808	
99	1311002	1344	3908	2621	
100	1294741	1277	3880	2634	
101	1277031	1271	3745	2597	
102	1258074	1203	3708	2558	
103	1237347	1241	3599	2454	
104	1215457	1187	3566	2333	
105	1191515	1170	3323	2339	
106	1165411	1103	3213	2193	
107	1137553	972	3070	2054	
108	1107728	971	2969	2004	
109	1076061	951	2796	1793	
110	1042497	867	2541	1729	
111	1006744	815	2409	1634	
112	968048	819	2142	1476	
113	927049	722	1982	1455	
114	884174	620	1873	1278	
115	838886	589	1670	1233	
116	791898	509	1517	1050	
117	742612	518	1265	968	
118	692303	441	1142	878	
119	641158	353	1024	777	
120	590079	345	780	645	
121	539036	345	730	609	
122	489171	280	588	501	
123	440868	252	483	433	
124	394304	213	415	321	
125	350170	185	335	304	
126	308502	153	276	256	
127	269996	106	199	216	
128	235016	95	166	173	
129	203569	66	134	140	
130	175145	42	108	107	
131	150627	57	86	78	
132	129254	44	63	55	
133	111031	32	49	49	
134	95477	25	40	43	
135	82638	20	24	36	
136	71937	19	23	21	
137	63035	5	19	17	
138	55850	7	15	9	
139	49949	4	7	15	
140	45103	6	8	11	
141	41260	5	6	2	
142	38161	2	4	5	
143	35600	4	1	2	
144	33504	2	2	4	
145	31890	1	0	2	
146	30436	0	0	1	
147	29293	0	1	0	
148	28239	0	2	0	
149	27335	0	0	1	
150	26534	0	0	2	
151	25756	0	0	0	
152	25064	0	0	0	
153	24420	0	1	0	
154	23803	0	0	0	
155	23227	0	0	0	
156	22654	1	0	0	
157	22114	0	0	0	
158	21607	1	0	0	
159	21114	0	0	0	
160	20611	0	0	0	
161	20096	0	0	0	
162	19577	0	0	1	
163	19072	0	0	0	
164	18552	0	0	0	
165	18076	0	0	0	
166	17595	0	0	0	
167	17082	0	0	0	
168	16568	0	0	0	
169	16068	0	0	0	
170	15582	0	0	0	
171	15081	0	0	0	
172	14598	0	0	0	
173	14111	0	0	0	
174	13650	0	0	0	
175	13175	0	0	0	
176	12679	0	0	0	
177	12235	0	0	0	
178	11688	0	0	0	
179	11117	0	0	0	
180	10467	0	0	0	
181	9805	0	0	0	
182	9054	0	0	0	
183	8251	0	0	0	
