offset	total	subst	del	ins
0	4881782	0	0	0	
1	4881782	0	0	0	
2	4881782	0	0	0	
3	4881782	1	0	0	
4	4881782	149	0	0	
5	4881782	136	0	0	
6	4881782	94	1	0	
7	4881782	78	2	0	
8	4881782	81	464	464	
9	4881782	104	648	369	
10	4881782	89	754	398	
11	4881782	101	878	384	
12	4881782	111	946	476	
13	4881782	91	925	561	
14	4881782	121	1047	712	
15	4881782	120	1094	690	
16	4881782	119	967	726	
17	4881782	108	1063	803	
18	4881782	104	1107	723	
19	4881782	112	1206	889	
20	4881782	124	1260	922	
21	4881782	107	1328	1088	
22	4881782	144	1349	1249	
23	4881782	143	1490	1332	
24	4881782	133	1577	1522	
25	4881782	174	1571	1606	
26	4881782	147	1629	1752	
27	4881782	201	1652	1882	
28	4881782	191	1631	2066	
29	4881782	207	1754	2110	
30	4876705	204	1860	2328	
31	4871745	230	2022	2299	
32	4866708	245	1966	2281	
33	4861662	268	2122	2405	
34	4856568	293	2022	2249	
35	4851381	245	2078	2365	
36	4846136	292	2159	2360	
37	4840738	251	2128	2392	
38	4835292	320	2212	2389	
39	4829629	298	2136	2370	
40	4823812	320	2188	2331	
41	4817826	268	2218	2332	
42	4811857	318	2184	2304	
43	4805761	312	2240	2402	
44	4799562	339	2193	2334	
45	4793285	321	2204	2419	
46	4786995	319	2153	2424	
47	4780592	292	2303	2340	
48	4774232	303	2270	2494	
49	4767869	285	2218	2433	
50	4761398	298	2317	2379	
51	4754890	307	2224	2556	
52	4748319	306	2191	2423	
53	4741976	343	2158	2416	
54	4735417	323	2350	2538	
55	4729072	343	2229	2579	
56	4722709	341	2300	2614	
57	4716515	319	2273	2598	
58	4709975	316	2285	2632	
59	4703717	325	2443	2649	
60	4697419	304	2276	2540	
61	4691110	338	2290	2662	
62	4684856	346	2315	2610	
63	4678564	339	2264	2629	
64	4672463	356	2329	2690	
65	4666365	352	2395	2593	
66	4660183	334	2185	2750	
67	4654069	293	2322	2634	
68	4648045	332	2385	2665	
69	4642159	361	2276	2677	
70	4636096	331	2347	2607	
71	4630141	330	2387	2566	
72	4624190	334	2293	2538	
73	4618341	365	2290	2682	
74	4612663	342	2391	2588	
75	4606858	348	2376	2549	
76	4601361	335	2413	2642	
77	4595546	325	2306	2605	
78	4589754	353	2385	2575	
79	4584168	342	2287	2625	
80	4578634	373	2261	2532	
81	4573037	374	2287	2569	
82	4567542	351	2391	2440	
83	4562098	313	2283	2541	
84	4556531	318	2264	2523	
85	4550987	360	2424	2635	
86	4545290	363	2230	2549	
87	4539521	383	2363	2643	
88	4533895	369	2441	2620	
89	4528294	387	2421	2453	
90	4522490	358	2432	2520	
91	4516685	425	2428	2520	
92	4510978	372	2425	2496	
93	4505060	378	2491	2545	
94	4499188	377	2282	2447	
95	4493242	378	2480	2450	
96	4487160	353	2428	2549	
97	4481000	362	2403	2480	
98	4474900	378	2321	2546	
99	4468587	358	2402	2394	
100	4462464	359	2373	2659	
101	4456159	408	2410	2525	
102	4449755	407	2440	2519	
103	4443206	377	2447	2552	
104	4436640	378	2395	2490	
105	4429980	369	2372	2492	
106	4423365	398	2494	2571	
107	4416707	381	2451	2504	
108	4409977	405	2485	2545	
109	4403291	382	2500	2570	
110	4396325	353	2472	2480	
111	4389448	387	2419	2555	
112	4382488	376	2496	2537	
113	4375507	391	2329	2521	
114	4368423	398	2393	2508	
115	4361443	385	2444	2585	
116	4354449	378	2397	2534	
117	4347401	411	2413	2647	
118	4340257	399	2508	2517	
119	4333124	410	2392	2479	
120	4325985	415	2395	2470	
121	4318814	369	2437	2516	
122	4311629	401	2397	2544	
123	4304605	381	2321	2508	
124	4297460	416	2498	2475	
125	4290212	403	2310	2354	
126	4283099	408	2430	2521	
127	4275895	411	2405	2500	
128	4268848	434	2350	2541	
129	4261606	417	2517	2509	
130	4254328	442	2515	2495	
131	4247113	423	2506	2428	
132	4239822	434	2482	2514	
133	4232542	440	2420	2481	
134	4225315	433	2532	2396	
135	4218047	405	2485	2424	
136	4210815	436	2473	2455	
137	4203529	423	2477	2525	
138	4196244	436	2424	2375	
139	4188697	474	2454	2399	
140	4181241	436	2380	2394	
141	4173683	444	2465	2516	
142	4166383	439	2431	2454	
143	4158918	449	2552	2359	
144	4151314	409	2452	2471	
145	4143520	453	2475	2396	
146	4135907	446	2488	2460	
147	4128168	447	2515	2351	
148	4120311	425	2517	2481	
149	4112328	467	2484	2475	
150	4104361	467	2494	2384	
151	4096451	428	2413	2472	
152	4088129	462	2577	2527	
153	4079919	442	2530	2548	
154	4071482	482	2521	2468	
155	4063113	472	2515	2464	
156	4054612	497	2548	2410	
157	4046094	484	2564	2462	
158	4037303	494	2576	2432	
159	4028278	494	2454	2432	
160	4019178	505	2539	2465	
161	4010062	459	2524	2439	
162	4000859	489	2643	2423	
163	3991398	518	2513	2454	
164	3981710	512	2584	2515	
165	3972093	487	2556	2475	
166	3962336	505	2624	2481	
167	3952253	472	2536	2484	
168	3942163	509	2674	2494	
169	3931992	508	2602	2500	
170	3921739	517	2607	2421	
171	3911365	468	2668	2484	
172	3900845	512	2626	2403	
173	3890185	480	2571	2461	
174	3879465	500	2726	2486	
175	3868474	490	2665	2398	
176	3857592	550	2666	2410	
177	3846530	483	2641	2401	
178	3835262	497	2725	2409	
179	3824018	525	2688	2418	
180	3812507	496	2753	2507	
181	3801014	510	2732	2474	
182	3789623	501	2718	2410	
183	3778265	512	2689	2393	
184	3766592	530	2714	2298	
185	3755095	544	2646	2306	
186	3743218	508	2790	2322	
187	3731426	521	2681	2321	
188	3719328	542	2669	2291	
189	3707438	545	2708	2373	
190	3695452	517	2686	2407	
191	3683437	517	2680	2286	
192	3671092	551	2675	2375	
193	3658844	536	2711	2387	
194	3646655	523	2755	2404	
195	3634244	536	2741	2337	
196	3621992	533	2670	2409	
197	3609647	555	2652	2327	
198	3597218	548	2696	2307	
199	3584680	550	2660	2314	
200	3572303	509	2573	2274	
201	3559795	532	2694	2337	
202	3547519	563	2599	2325	
203	3534895	494	2636	2246	
204	3522407	542	2588	2362	
205	3509631	525	2531	2369	
206	3496925	531	2656	2224	
207	3484146	505	2606	2263	
208	3471672	534	2590	2281	
209	3458939	548	2543	2378	
210	3446128	515	2551	2303	
211	3433348	536	2594	2273	
212	3420318	525	2612	2248	
213	3407583	543	2548	2311	
214	3394673	539	2526	2313	
215	3382005	564	2553	2327	
216	3369226	546	2482	2154	
217	3356504	504	2544	2346	
218	3343962	533	2581	2263	
219	3331170	543	2601	2217	
220	3318297	489	2495	2168	
221	3305707	550	2549	2215	
222	3292937	549	2570	2198	
223	3280106	527	2577	2184	
224	3267366	566	2429	2350	
225	3254778	528	2509	2271	
226	3241934	543	2475	2268	
227	3229270	514	2541	2208	
228	3216488	539	2563	2154	
229	3203812	548	2425	2169	
230	3191080	493	2478	2274	
231	3178186	549	2483	2148	
232	3165750	573	2461	2107	
233	3152993	492	2512	2207	
234	3140419	519	2545	2182	
235	3127852	514	2449	2199	
236	3115261	560	2489	2102	
237	3102871	538	2572	2033	
238	3090421	530	2392	2066	
239	3077977	568	2435	2124	
240	3065602	564	2452	2107	
241	3053295	538	2352	2044	
242	3041142	554	2448	2017	
243	3028812	554	2476	2121	
244	3016694	564	2404	2092	
245	3004554	570	2396	2119	
246	2992415	545	2389	2188	
247	2980190	587	2402	1988	
248	2968062	591	2455	2124	
249	2956107	518	2403	2033	
250	2944043	552	2309	1991	
251	2931937	522	2377	2018	
252	2919990	561	2402	2145	
253	2908094	515	2326	2012	
254	2896207	518	2356	2012	
255	2884467	577	2344	2045	
256	2872660	538	2410	2039	
257	2860822	544	2367	2026	
258	2849072	595	2416	2103	
259	2837398	563	2355	2048	
260	2825774	633	2341	2019	
261	2814187	541	2350	2043	
262	2802603	542	2312	1983	
263	2791073	573	2338	1944	
264	2779639	576	2380	2045	
265	2768328	542	2233	2036	
266	2756883	537	2416	2082	
267	2745577	529	2274	2073	
268	2734352	557	2391	2026	
269	2722920	559	2273	2037	
270	2711663	498	2468	1932	
271	2700440	586	2327	1967	
272	2689337	577	2416	2010	
273	2678278	558	2303	2023	
274	2666956	554	2265	2003	
275	2655654	577	2325	1969	
276	2644333	595	2393	1910	
277	2633074	590	2329	1908	
278	2621693	570	2463	1961	
279	2610284	649	2405	1990	
280	2599265	596	2380	1972	
281	2588057	577	2353	1981	
282	2577015	587	2421	1931	
283	2565697	604	2398	2047	
284	2554534	557	2304	1986	
285	2543381	581	2292	1884	
286	2532135	568	2348	1988	
287	2521007	571	2252	1986	
288	2509938	597	2282	1860	
289	2498865	664	2341	2043	
290	2487818	581	2278	1948	
291	2476742	642	2263	1843	
292	2465710	644	2191	1968	
293	2454576	594	2297	1953	
294	2443295	584	2233	1920	
295	2432118	642	2278	1935	
296	2420944	572	2205	1853	
297	2409527	650	2207	1891	
298	2398290	585	2168	1871	
299	2387207	626	2238	1874	
300	2375862	556	2233	1880	
301	2364635	650	2215	1899	
302	2353506	612	2178	1819	
303	2342212	579	2201	1843	
304	2330944	602	2180	1845	
305	2319559	604	2243	1909	
306	2308255	558	2160	1892	
307	2296998	582	2161	1900	
308	2285746	594	2137	1839	
309	2274299	602	2144	1801	
310	2263077	636	2146	1788	
311	2251605	612	2087	1847	
312	2240526	630	2041	1822	
313	2229098	556	2150	1857	
314	2217572	575	2118	1798	
315	2206208	612	2097	1751	
316	2194785	557	2116	1817	
317	2183148	664	2078	1797	
318	2171544	616	2067	1711	
319	2159719	602	2051	1825	
320	2147788	593	2039	1793	
321	2135748	611	2072	1792	
322	2123499	634	2003	1817	
323	2111278	622	1975	1754	
324	2099299	631	1968	1744	
325	2086894	620	1956	1829	
326	2074422	586	1945	1780	
327	2061756	562	1961	1775	
328	2048905	604	2019	1699	
329	2036135	544	1910	1681	
330	2023534	589	1955	1764	
331	2010514	541	1887	1718	
332	1997577	615	1855	1613	
333	1984492	547	1911	1668	
334	1971187	605	1885	1699	
335	1957976	608	1879	1748	
336	1944523	591	1756	1777	
337	1930673	568	1756	1554	
338	1916776	595	1944	1665	
339	1902689	562	1822	1588	
340	1888371	551	1785	1605	
341	1874189	576	1805	1659	
342	1859610	595	1777	1594	
343	1844861	538	1767	1639	
344	1830081	543	1701	1556	
345	1814995	547	1724	1570	
346	1799750	576	1614	1588	
347	1784273	542	1680	1605	
348	1768314	571	1732	1583	
349	1752230	551	1656	1564	
350	1735553	542	1761	1640	
351	1719173	544	1696	1535	
352	1702575	520	1578	1539	
353	1685627	562	1584	1528	
354	1668371	486	1571	1573	
355	1650996	535	1536	1564	
356	1633095	465	1577	1518	
357	1614847	525	1549	1538	
358	1596172	531	1444	1550	
359	1577244	480	1491	1521	
360	1558125	521	1465	1533	
361	1538362	517	1415	1498	
362	1518625	483	1429	1454	
363	1498319	504	1382	1481	
364	1477906	469	1351	1486	
365	1457056	498	1284	1423	
366	1435884	502	1375	1406	
367	1414437	469	1249	1401	
368	1392171	466	1311	1384	
369	1369586	472	1197	1388	
370	1346680	477	1281	1353	
371	1322839	482	1197	1335	
372	1298950	486	1199	1339	
373	1274676	476	1146	1315	
374	1250353	393	1157	1307	
375	1225517	446	1100	1279	
376	1200330	428	1040	1273	
377	1174537	379	1023	1226	
378	1148308	444	1014	1227	
379	1121350	386	1002	1192	
380	1094121	350	958	1118	
381	1066071	372	939	1094	
382	1037889	336	867	1115	
383	1009388	355	865	1039	
384	980080	330	833	1059	
385	950624	319	808	1049	
386	920451	289	848	999	
387	890703	282	744	981	
388	860212	268	732	937	
389	829718	270	686	929	
390	799225	280	687	830	
391	768119	281	652	779	
392	737565	251	595	821	
393	706896	244	578	737	
394	676808	218	511	747	
395	646953	234	554	730	
396	617383	214	498	645	
397	588330	196	477	700	
398	559983	199	413	631	
399	532266	176	435	552	
400	504778	184	413	545	
401	478242	162	323	530	
402	452307	149	336	502	
403	427110	142	346	446	
404	402995	115	326	436	
405	379900	128	280	386	
406	357588	101	294	381	
407	336207	109	264	357	
408	315586	95	235	343	
409	295831	108	216	326	
410	276619	82	205	270	
411	258396	95	187	288	
412	240991	71	170	257	
413	224407	70	168	235	
414	208858	78	141	206	
415	194083	74	131	176	
416	180174	50	132	189	
417	166634	65	129	167	
418	153911	42	111	141	
419	142228	44	103	168	
420	131094	53	88	140	
421	120774	40	98	122	
422	110970	30	73	104	
423	101814	25	68	86	
424	93021	23	47	94	
425	84879	23	50	65	
426	77316	18	27	76	
427	70274	23	42	65	
428	63707	23	31	57	
429	57635	22	24	48	
430	51978	19	38	41	
431	46769	13	19	46	
432	42123	16	23	31	
433	37851	17	22	32	
434	33735	9	16	19	
435	30157	10	20	29	
436	26946	9	9	20	
437	23935	11	10	14	
438	21343	5	7	18	
439	18923	4	5	16	
440	16709	4	6	8	
441	14715	2	4	9	
442	13019	2	2	11	
443	11385	1	5	12	
444	9968	2	5	5	
445	8719	2	2	9	
446	7603	0	3	7	
447	6670	2	3	2	
448	5822	0	2	1	
449	5093	0	4	7	
450	4467	2	0	1	
451	3910	1	2	2	
452	3423	1	0	1	
453	2992	1	1	2	
454	2671	0	0	1	
455	2384	0	0	1	
456	2120	0	2	0	
457	1907	0	1	1	
458	1721	0	0	2	
459	1551	0	0	2	
460	1420	1	1	0	
461	1315	0	0	1	
462	1207	0	0	1	
463	1130	0	0	2	
464	1057	0	0	1	
465	990	0	0	1	
466	935	0	1	0	
467	880	1	1	1	
468	840	0	0	0	
469	796	0	0	1	
470	757	0	0	1	
471	716	0	1	0	
472	669	0	0	0	
473	634	1	0	0	
474	602	0	0	0	
475	572	0	0	1	
476	545	0	0	0	
477	508	0	0	0	
478	485	0	0	0	
479	461	0	0	0	
480	440	0	0	1	
481	420	0	0	0	
482	392	0	0	0	
483	369	0	0	0	
484	345	0	0	0	
485	320	0	0	0	
486	299	0	0	0	
487	282	0	0	0	
488	265	0	0	0	
489	249	0	0	0	
490	237	0	0	0	
491	220	0	0	0	
492	200	0	0	1	
493	194	0	0	0	
494	183	0	0	0	
495	176	0	0	0	
496	169	0	0	0	
497	160	0	0	0	
498	154	0	0	0	
499	150	0	0	0	
500	146	0	0	0	
501	142	0	0	0	
502	137	0	0	0	
503	124	0	0	0	
504	117	0	0	0	
505	112	0	0	0	
506	109	0	0	0	
507	100	0	0	0	
508	97	0	0	0	
509	91	0	0	0	
510	88	0	0	0	
511	84	0	0	0	
512	78	0	0	0	
513	75	0	0	0	
514	72	0	0	0	
515	65	0	0	0	
516	64	0	0	0	
517	58	0	0	0	
518	57	0	0	0	
519	54	0	0	0	
520	52	0	0	0	
521	51	0	0	0	
522	49	0	0	0	
